timestamp,x,y,z
1456704194540017,-0.875,0.4375,0.4375
1456704194562017,0.375,-0.0625,0.3125
1456704194577528,-0.25,-0.9375,0.3125
1456704194600037,-1.5,-1.6875,-0.25
1456704194622039,-4.1875,-2.9375,-1.1875
1456704194637042,-10.5625,-3.875,-0.875
1456704194660040,-16.6875,-2.0625,-0.625
1456704194682057,-16.8125,-0.3125,-1.625
1456704194697058,-5.8125,-0.75,-2.25
1456704194726297,7,1.0625,0.375
1456704194742061,3.3125,0.5625,2.4375
1456704194757099,-4.0625,-2.0625,2.25
1456704194780074,-1.625,-2.0625,2.0625
1456704194801348,2.1875,-0.4375,-0.125
1456704194817086,3.375,-1.0625,-1.1875
1456704194840088,1.0625,-3.75,-0.4375
1456704194861130,1.75,-2.125,1.1875
1456704194877876,8.9375,-2.75,-0.75
1456704194900881,5.8125,-2.0625,1.75
1456704194921883,1.5625,7.125,9.25
1456704194937887,-7.8125,10.375,8.8125
1456704194960623,-10.75,8.5625,4.6875
1456704194981924,-0.125,3.3125,0.5
1456704195003656,3.0625,-1.125,-2.375
1456704195019657,5.0625,-3.5625,-2.75
1456704195041643,5.8125,-3.0625,-2.375
1456704195057650,3.6875,-2,-1.4375
1456704195079342,2.625,0.0625,0.4375
1456704195101295,-0.6875,1.375,1.375
1456704195117049,-3.0625,1.375,1.0625
1456704195139050,-0.1875,1.125,0.5625
1456704195161058,2.4375,0.75,-0.5625
1456704195177812,1.4375,-0.75,-1.0625
1456704195206862,-0.75,-1.0625,-0.5
1456704195222864,-1.1875,0.0625,0.875
1456704195243860,-1.4375,0.5625,1.5
1456704195259865,-1.1875,0.5,1.3125
1456704195281916,-0.3125,0.5,0.9375
1456704195303237,-0.125,0.625,0.0625
1456704195318919,-1.375,0.125,-0.5625
1456704195341919,-1.375,-0.125,-0.25
1456704195362921,0.875,-0.125,0.125
1456704195379426,0.6875,0.4375,1.0625
1456704195402933,-1.3125,0.9375,1.25
1456704195422934,-2.75,0.75,0.1875
1456704195438934,-0.8125,0.75,0.75
1456704195461936,2.0625,0.375,0.6875
1456704195483415,1.9375,-0.625,-0.6875
1456704195499541,0.875,-1.5,-0.875
1456704195523343,2.0625,-0.8125,-0.0625
1456704195543628,1.1875,-0.1875,0.4375
1456704195559346,-1.625,-0.375,0.0625
