timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1456704107559204,2,-6,-13,-7,-6,-6,-28,-3
1456704107559204,-24,4,8,-6,-4,-1,31,-7
1456704107573204,20,5,2,4,-2,-2,-22,-1
1456704107573204,-6,0,30,-3,0,0,17,2
1456704107581514,10,-13,-28,0,-1,-3,-17,-3
1456704107581514,-8,5,0,-2,-1,-2,-12,-2
1456704107595939,20,-15,-19,-2,-2,-4,-8,5
1456704107595939,-27,3,5,-8,-8,-3,23,3
1456704107596939,-6,3,-8,-3,0,0,-6,-11
1456704107596939,23,-2,15,-2,-3,-3,1,7
1456704107610227,0,0,-4,2,3,3,2,0
1456704107610227,1,-1,-2,2,-1,-2,-7,-3
1456704107618947,-1,-1,3,-4,-5,-3,-10,-4
1456704107618947,-1,-8,-11,1,1,-2,-2,-2
1456704107632942,-7,7,12,-2,-6,-2,-2,-2
1456704107632942,-1,-14,-5,2,5,1,-11,1
1456704107640942,-8,-8,-14,-7,-7,-3,2,-6
1456704107640942,-3,-3,1,-2,-1,-1,-5,1
1456704107655947,12,4,-8,-2,0,-3,-3,-3
1456704107655947,-5,9,17,2,-1,1,2,-4
1456704107656942,5,5,1,-1,2,0,0,0
1456704107656942,-3,-5,-7,3,-5,-5,-5,-1
1456704107669943,-10,-11,-4,-7,-1,1,0,-2
1456704107669943,-1,3,23,17,1,-3,5,-1
1456704107679449,1,-4,-32,-15,11,0,-5,-2
1456704107679449,-3,0,0,-18,-27,-4,-2,2
1456704107692965,-7,-5,14,3,17,2,1,-5
1456704107692965,5,7,-3,0,-27,-1,3,1
1456704107700970,-1,0,7,-31,-1,-3,-2,-2
1456704107700970,-12,-3,0,17,10,-1,-6,-2
1456704107715966,6,8,0,-7,-9,0,0,-2
1456704107715966,4,-9,-24,-14,7,0,1,-1
1456704107716966,-1,8,8,20,-5,-2,-8,-1
1456704107716966,-1,-18,-8,-5,-2,-2,7,2
1456704107729967,-11,2,17,2,3,0,-10,-3
1456704107729967,-2,-19,-32,-3,5,-1,19,0
1456704107738972,13,9,7,4,-6,-1,-5,1
1456704107738972,-49,2,4,-3,9,3,0,0
1456704107752968,-7,1,-12,13,-6,-4,1,1
1456704107752968,16,12,2,-10,-2,-1,-8,-9
1456704107760974,20,-3,6,1,-4,-3,-7,0
1456704107760974,-1,-3,-11,2,-1,-2,-4,-10
1456704107776479,1,-11,-2,-4,-4,-3,-13,7
1456704107776479,-57,-2,-13,-4,-2,-2,5,-20
1456704107777478,20,2,-16,1,-1,1,-13,1
1456704107777478,16,8,10,3,5,-1,-11,-4
1456704107790388,-10,-11,-4,-4,-6,-2,13,0
1456704107790388,11,0,3,-4,0,-2,-23,5
1456704107799381,-20,-1,4,19,8,-3,9,-2
1456704107799381,11,2,9,-22,-11,-1,7,-1
1456704107822487,6,16,8,5,-2,-4,-9,1
1456704107822487,-2,-22,-12,1,0,0,4,-13
1456704107823188,-19,-12,5,-2,-3,-3,-7,-5
1456704107823188,7,9,-9,4,7,1,-8,4
1456704107836491,11,-2,-8,-9,-7,-3,4,-1
1456704107836491,8,8,13,2,1,-3,-5,5
1456704107837188,0,-5,-4,-1,-4,-1,4,-2
1456704107837188,9,-9,2,6,4,3,2,-2
1456704107850475,-13,-1,1,0,-3,1,2,-3
1456704107850475,0,-4,-2,-6,-1,-2,4,2
1456704107859196,-13,1,13,1,-4,-2,-3,-1
1456704107859196,5,-1,-3,8,-2,-4,4,2
1456704107873232,-11,2,-9,22,9,0,-3,-4
1456704107873232,11,6,-2,-35,-8,0,-1,2
1456704107881463,0,-22,-2,-2,-7,-1,-7,5
1456704107881463,-7,4,4,9,3,-3,-17,-4
1456704107896468,2,1,-7,-9,-6,2,34,0
1456704107896468,-3,-2,0,6,5,-2,-8,3
1456704107897670,-3,8,-10,-1,3,1,7,-1
1456704107897670,2,14,-7,-11,-9,-7,-21,-8
1456704107910795,-6,-28,6,-2,2,1,-16,0
1456704107910795,-5,0,-14,2,-1,-2,1,0
1456704107918469,13,6,11,-1,-2,-3,-1,-2
1456704107918469,-30,-5,-4,-1,1,0,0,3
1456704107935470,-2,2,-2,-2,-3,-4,-3,-1
1456704107935470,24,6,-7,4,-1,-1,8,3
1456704107941494,-44,-4,-5,-3,-2,0,-4,-4
1456704107941494,13,5,2,7,6,1,11,1
1456704107956764,-7,5,6,-1,-3,0,-4,4
1456704107956764,-9,-9,6,0,-2,-1,-5,0
1456704107964473,18,-1,-5,-3,0,-2,-9,2
1456704107964473,3,-6,-6,-9,-8,-3,-8,-2
1456704107971498,-5,1,-6,2,1,-6,-2,-2
1456704107971498,-4,3,2,-1,-1,1,23,3
1456704107978497,0,-3,-1,0,-2,-1,21,2
1456704107978497,0,-8,4,-3,1,7,8,-8
1456704107993507,7,-3,-5,-5,-4,0,-15,-4
1456704107993507,-5,1,1,4,4,-2,-6,-2
1456704108001686,-3,1,6,-5,-4,-3,-8,-12
1456704108001686,1,-10,-5,-1,0,-2,0,3
1456704108016688,-4,-7,0,-1,-1,-1,5,-4
1456704108016688,1,-6,-1,-2,-3,-1,-5,-2
1456704108024693,-4,2,4,-2,1,0,2,-2
1456704108024693,9,-2,-1,2,-1,-2,0,5
1456704108030510,0,6,-3,-5,-1,1,-2,-3
1456704108030510,-6,-11,-4,-5,-4,-5,-17,-2
1456704108038757,3,-1,8,3,-5,-1,18,0
1456704108038757,0,-2,-12,-5,0,-1,2,2
1456704108053512,14,6,8,1,3,2,6,-1
1456704108053512,-4,3,19,3,-4,3,19,1
1456704108069795,0,-2,-30,-4,0,-1,-4,0
1456704108069795,5,0,-5,-7,-8,0,1,-2
1456704108075536,-8,-5,-3,-1,-1,-3,-2,-5
1456704108075536,-11,-5,1,4,1,0,-2,-7
1456704108084537,8,14,4,11,5,1,1,3
1456704108084537,3,-11,7,-17,-2,-2,-5,-1
1456704108099840,-10,-4,-15,4,-2,0,-15,-6
1456704108099840,10,9,11,-4,-2,-1,1,0
1456704108099840,-5,0,5,17,6,1,1,1
1456704108099840,-3,4,-2,-2,-3,-3,2,-2
1456704108112842,-6,-25,0,-9,-5,-1,-7,0
1456704108112842,-3,0,-10,1,2,-2,-22,-1
1456704108121842,3,-3,-6,-10,-2,0,11,2
1456704108121842,0,5,25,7,3,-1,-6,-3
1456704108135845,-11,12,-7,-4,-4,-3,0,-4
